Year,Pitch Type,Velocity,Pitch Outcome,Zone,Spin Rate,Plate Appearance Outcome
2018,Sweeper,80.0,hit_into_play,14.0,2286.0,field_out
2018,4-Seam Fastball,92.7,foul,2.0,2046.0,
2018,4-Seam Fastball,92.5,called_strike,6.0,2106.0,
2018,4-Seam Fastball,91.6,ball,11.0,2125.0,
2018,Sweeper,77.0,hit_into_play,8.0,2231.0,home_run
2018,Split-Finger,83.4,foul,5.0,1347.0,
2018,Sweeper,77.7,foul,6.0,2207.0,
2018,Sweeper,76.5,ball,11.0,2183.0,
2018,4-Seam Fastball,92.1,called_strike,6.0,2234.0,
2018,Sweeper,76.7,ball,11.0,2168.0,walk
2018,Sweeper,77.6,ball,13.0,2186.0,
2018,Split-Finger,83.7,foul,7.0,1106.0,
2018,4-Seam Fastball,91.9,foul,1.0,2158.0,
2018,Curveball,68.4,ball,11.0,2147.0,
2018,4-Seam Fastball,90.2,foul,1.0,1976.0,
2018,Split-Finger,88.9,ball,11.0,1952.0,
2018,4-Seam Fastball,93.9,hit_into_play,6.0,2103.0,field_out
2018,4-Seam Fastball,95.2,ball,14.0,2190.0,
2018,Sweeper,77.6,called_strike,9.0,2188.0,
2018,Split-Finger,87.2,swinging_strike_blocked,14.0,1303.0,strikeout
2018,4-Seam Fastball,97.8,foul,12.0,2293.0,
2018,Split-Finger,87.1,ball,13.0,1144.0,
2018,Sweeper,79.8,foul,5.0,2357.0,
2018,Sweeper,81.3,called_strike,1.0,2212.0,
2018,4-Seam Fastball,97.8,hit_into_play,4.0,2145.0,field_out
2018,4-Seam Fastball,92.7,swinging_strike,14.0,2037.0,
2018,4-Seam Fastball,96.4,ball,11.0,2160.0,
2018,4-Seam Fastball,94.2,foul,5.0,2142.0,
2018,4-Seam Fastball,95.4,ball,14.0,2147.0,
2018,4-Seam Fastball,95.9,ball,14.0,2135.0,
2018,Sweeper,83.6,called_strike,7.0,2443.0,strikeout
2018,4-Seam Fastball,98.1,foul,3.0,2312.0,
2018,4-Seam Fastball,97.9,ball,9.0,2126.0,
2018,4-Seam Fastball,97.5,ball,12.0,2206.0,
2018,4-Seam Fastball,99.3,ball,14.0,2288.0,
2018,Sweeper,83.4,called_strike,11.0,2318.0,
2018,4-Seam Fastball,98.2,ball,14.0,2257.0,walk
2018,Sweeper,81.6,ball,11.0,2411.0,
2018,Split-Finger,88.9,foul,8.0,1204.0,
2018,Split-Finger,88.6,blocked_ball,14.0,1376.0,
2018,Sweeper,81.2,swinging_strike,8.0,2310.0,
2018,Sweeper,81.8,ball,11.0,2406.0,
2018,4-Seam Fastball,96.9,called_strike,5.0,2305.0,
2018,4-Seam Fastball,97.0,hit_into_play,2.0,2282.0,field_out
2018,Split-Finger,88.5,hit_into_play,8.0,1456.0,field_out
2018,4-Seam Fastball,97.6,foul,4.0,2250.0,
2018,4-Seam Fastball,96.1,swinging_strike,2.0,2238.0,
2018,4-Seam Fastball,95.7,hit_into_play,6.0,2043.0,single
2018,4-Seam Fastball,96.9,ball,11.0,2014.0,
2018,Split-Finger,87.6,swinging_strike_blocked,13.0,1153.0,strikeout
2018,Split-Finger,85.2,swinging_strike,14.0,1448.0,
2018,Split-Finger,85.0,ball,13.0,1377.0,
2018,Sweeper,80.8,foul,5.0,2246.0,
2018,4-Seam Fastball,94.3,ball,14.0,2036.0,walk
2018,4-Seam Fastball,96.1,ball,11.0,2136.0,
2018,4-Seam Fastball,94.9,blocked_ball,14.0,2197.0,
2018,Split-Finger,84.3,ball,14.0,1416.0,
2018,4-Seam Fastball,95.9,ball,14.0,2374.0,walk
2018,Sweeper,78.8,ball,14.0,2335.0,
2018,4-Seam Fastball,94.4,blocked_ball,14.0,2190.0,
2018,Sweeper,76.4,ball,14.0,2311.0,
2018,Sweeper,78.8,swinging_strike_blocked,14.0,2190.0,
2018,4-Seam Fastball,93.9,hit_into_play,2.0,2034.0,single
2018,4-Seam Fastball,92.6,swinging_strike,2.0,2038.0,
2018,4-Seam Fastball,97.5,ball,13.0,2129.0,
2018,Split-Finger,81.2,ball,11.0,1190.0,
2018,4-Seam Fastball,94.0,blocked_ball,14.0,2095.0,
2018,Sweeper,79.9,hit_into_play,6.0,2182.0,field_out
2018,Sweeper,79.9,called_strike,14.0,2260.0,
2018,Sweeper,77.2,ball,14.0,2131.0,
2018,4-Seam Fastball,94.8,hit_into_play,8.0,2063.0,field_out
2018,Sweeper,77.4,ball,14.0,2113.0,
2018,4-Seam Fastball,93.6,hit_into_play,4.0,1965.0,single
2018,Split-Finger,85.6,hit_into_play,8.0,1091.0,field_out
2018,Split-Finger,84.8,swinging_strike,14.0,1390.0,
2018,Sweeper,79.3,called_strike,14.0,2293.0,
2018,4-Seam Fastball,93.7,hit_into_play,9.0,2144.0,field_out
2018,4-Seam Fastball,95.1,ball,14.0,2163.0,
2018,Sweeper,79.2,ball,14.0,2140.0,
2018,Sweeper,78.9,swinging_strike,8.0,2193.0,strikeout
2018,4-Seam Fastball,96.4,foul,4.0,2041.0,
2018,4-Seam Fastball,95.7,ball,14.0,2204.0,
2018,4-Seam Fastball,95.2,ball,13.0,2063.0,
2018,4-Seam Fastball,95.4,ball,14.0,2238.0,
2018,Curveball,68.9,called_strike,8.0,2331.0,
2018,4-Seam Fastball,97.5,hit_into_play,8.0,2228.0,field_out
2018,4-Seam Fastball,98.3,ball,14.0,2270.0,
2018,Sweeper,82.9,swinging_strike,5.0,2509.0,strikeout
2018,4-Seam Fastball,98.3,swinging_strike,14.0,2278.0,
2018,4-Seam Fastball,99.0,swinging_strike,14.0,2302.0,
2018,Sweeper,78.7,ball,11.0,2382.0,
2018,Sweeper,80.5,ball,11.0,2389.0,
2018,4-Seam Fastball,99.3,hit_into_play,14.0,2311.0,field_out
2018,Curveball,73.0,called_strike,4.0,2317.0,
2018,4-Seam Fastball,96.8,hit_into_play,2.0,2086.0,double
2018,Sweeper,81.1,ball,14.0,2279.0,
2018,4-Seam Fastball,97.0,foul,12.0,2204.0,
2018,4-Seam Fastball,96.0,ball,14.0,2214.0,
2018,4-Seam Fastball,95.2,ball,14.0,2251.0,
2018,Sweeper,83.6,hit_into_play,6.0,2457.0,grounded_into_double_play
2018,Sweeper,82.6,called_strike,5.0,2459.0,
2018,Split-Finger,88.4,blocked_ball,14.0,1697.0,
2018,Sweeper,80.9,called_strike,5.0,2434.0,
2018,4-Seam Fastball,95.3,ball,11.0,2081.0,walk
2018,4-Seam Fastball,98.8,ball,11.0,2227.0,
2018,Curveball,73.1,ball,11.0,2319.0,
2018,4-Seam Fastball,99.3,ball,14.0,2415.0,
2018,Sweeper,83.8,swinging_strike,14.0,2530.0,strikeout
2018,Sweeper,82.8,missed_bunt,5.0,,
2018,4-Seam Fastball,95.8,swinging_strike,4.0,2182.0,
2018,4-Seam Fastball,98.7,hit_into_play,2.0,2329.0,single
2018,4-Seam Fastball,96.3,called_strike,3.0,2202.0,
2018,4-Seam Fastball,101.1,hit_into_play,9.0,2301.0,field_out
2018,4-Seam Fastball,99.2,foul,4.0,2333.0,
2018,Sweeper,82.3,ball,11.0,2295.0,
2018,Split-Finger,86.8,called_strike,5.0,1495.0,
2018,Split-Finger,88.4,ball,14.0,1502.0,
2018,Sweeper,79.6,hit_into_play,9.0,2289.0,double
2018,4-Seam Fastball,95.8,ball,14.0,2280.0,
2018,Split-Finger,86.0,blocked_ball,14.0,1235.0,walk
2018,4-Seam Fastball,96.2,foul,8.0,2112.0,
2018,4-Seam Fastball,95.3,called_strike,7.0,2164.0,
2018,4-Seam Fastball,96.4,ball,14.0,2232.0,
2018,4-Seam Fastball,96.3,ball,14.0,2258.0,
2018,Split-Finger,82.6,foul,5.0,1199.0,
2018,Split-Finger,83.4,ball,11.0,1278.0,
2018,Split-Finger,85.5,hit_into_play,9.0,1429.0,field_out
2018,4-Seam Fastball,96.7,ball,12.0,2294.0,
2018,Sweeper,77.8,called_strike,9.0,2418.0,
2018,4-Seam Fastball,94.0,foul,12.0,2161.0,
2018,Sweeper,80.5,swinging_strike_blocked,14.0,2481.0,strikeout
2018,Sweeper,77.8,swinging_strike,14.0,2218.0,
2018,Curveball,70.1,called_strike,1.0,2305.0,
2018,Sweeper,82.3,swinging_strike,9.0,2243.0,strikeout
2018,Sweeper,82.7,swinging_strike,9.0,2243.0,
2018,Split-Finger,84.9,called_strike,1.0,778.0,
2018,Sweeper,82.4,hit_into_play,6.0,2328.0,field_out
2018,4-Seam Fastball,96.8,swinging_strike,11.0,2200.0,
2018,4-Seam Fastball,95.6,swinging_strike,12.0,2180.0,
2018,4-Seam Fastball,95.4,ball,12.0,2137.0,
2018,4-Seam Fastball,95.7,hit_into_play,5.0,2179.0,field_out
2018,Sweeper,78.1,ball,11.0,2266.0,
2018,Split-Finger,82.9,foul,5.0,1306.0,
2018,Curveball,70.7,ball,11.0,2273.0,
2018,4-Seam Fastball,98.1,hit_into_play,6.0,2122.0,field_out
2018,4-Seam Fastball,96.8,called_strike,8.0,2115.0,
2018,4-Seam Fastball,97.0,swinging_strike,2.0,2079.0,
2018,Curveball,73.3,ball,14.0,2350.0,
2018,Split-Finger,85.6,swinging_strike,14.0,1423.0,strikeout
2018,Sweeper,81.9,foul,9.0,2294.0,
2018,4-Seam Fastball,97.0,swinging_strike,14.0,2218.0,
2018,Curveball,71.6,called_strike,6.0,2300.0,
2018,Curveball,71.3,ball,11.0,2301.0,
2018,Split-Finger,85.1,hit_into_play,6.0,1491.0,double
2018,Sweeper,81.6,ball,14.0,2328.0,
2018,4-Seam Fastball,96.7,called_strike,5.0,2172.0,
2018,4-Seam Fastball,97.4,ball,14.0,2150.0,
2018,Sweeper,80.8,swinging_strike,6.0,2217.0,
2018,Split-Finger,88.2,hit_into_play,6.0,1304.0,field_out
2018,4-Seam Fastball,96.2,called_strike,9.0,2177.0,
2018,Split-Finger,84.1,ball,14.0,1343.0,
2018,Split-Finger,82.8,called_strike,3.0,1247.0,
2018,Split-Finger,85.6,swinging_strike,9.0,1439.0,strikeout
2018,Sweeper,80.3,called_strike,8.0,2326.0,
